[Employee #945178: Ms. Beulah J. Weeks - Gender: F, Email: beulah.weeks@aol.com, D.o.B: 1975-04-05, Date Joined: 2011-02-11, Salary: 139978.0]
[Employee #467080: Drs. Terrilyn A. Mcmullen - Gender: F, Email: terrilyn.mcmullen@gmail.com, D.o.B: 1966-01-21, Date Joined: 2005-08-16, Salary: 175513.0]
[Employee #517476: Ms. Marleen C. Bell - Gender: F, Email: marleen.bell@gmail.com, D.o.B: 1963-01-06, Date Joined: 1995-12-03, Salary: 117582.0]
[Employee #281376: Hon. Charlene I. Fenton - Gender: F, Email: charlene.fenton@gmail.com, D.o.B: 1988-06-23, Date Joined: 2013-10-14, Salary: 61675.0]
[Employee #173479: Ms. Marnie Z. Luckey - Gender: F, Email: marnie.luckey@outlook.com, D.o.B: 1970-11-27, Date Joined: 2017-05-05, Salary: 81053.0]
[Employee #254060: Dr. Sylvester V. Hamill - Gender: M, Email: sylvester.hamill@aol.com, D.o.B: 1964-07-06, Date Joined: 1989-07-19, Salary: 105460.0]
[Employee #581148: Ms. Oneida S. Straub - Gender: F, Email: oneida.straub@walmart.com, D.o.B: 1970-03-18, Date Joined: 1998-12-01, Salary: 131416.0]
[Employee #989007: Mr. Carol T. London - Gender: M, Email: carol.london@yahoo.com, D.o.B: 1964-01-22, Date Joined: 1990-12-07, Salary: 64957.0]
[Employee #961538: Mrs. Norman J. Siler - Gender: F, Email: norman.siler@verizon.net, D.o.B: 1982-08-10, Date Joined: 2012-04-17, Salary: 176420.0]
[Employee #806216: Mrs. Gwendolyn U. Bramble - Gender: F, Email: gwendolyn.bramble@hotmail.com, D.o.B: 1982-11-13, Date Joined: 2016-07-31, Salary: 59164.0]
[Employee #968722: Mr. Freeman H. Lower - Gender: M, Email: freeman.lower@aol.com, D.o.B: 1996-02-19, Date Joined: 2017-03-11, Salary: 76823.0]
[Employee #535207: Ms. Myrtie J. Testerman - Gender: F, Email: myrtie.testerman@bellsouth.net, D.o.B: 1981-12-30, Date Joined: 2013-07-13, Salary: 101955.0]
[Employee #401576: Ms. Iola U. Carranza - Gender: F, Email: iola.carranza@hotmail.com, D.o.B: 1988-02-03, Date Joined: 2016-12-05, Salary: 142745.0]
[Employee #505192: Ms. Corinna T. Garfield - Gender: F, Email: corinna.garfield@gmail.com, D.o.B: 1976-04-22, Date Joined: 2001-07-16, Salary: 61454.0]
[Employee #577588: Ms. Adam X. Sorensen - Gender: F, Email: adam.sorensen@gmail.com, D.o.B: 1967-04-14, Date Joined: 1997-03-18, Salary: 123968.0]
[Employee #528467: Dr. Asa K. Peeples - Gender: M, Email: asa.peeples@aol.com, D.o.B: 1971-10-03, Date Joined: 1994-12-09, Salary: 63788.0]
[Employee #741457: Prof. Shawn L. Felts - Gender: M, Email: shawn.felts@gmail.com, D.o.B: 1960-02-22, Date Joined: 1998-08-05, Salary: 131082.0]
[Employee #425467: Mr. Benton Q. Dotson - Gender: M, Email: benton.dotson@yahoo.co.in, D.o.B: 1976-10-29, Date Joined: 2004-11-28, Salary: 78764.0]
[Employee #766480: Mrs. Bridgette R. Cannady - Gender: F, Email: bridgette.cannady@verizon.net, D.o.B: 1980-12-04, Date Joined: 2009-02-27, Salary: 50683.0]
[Employee #315817: Mrs. Suzanna M. Mcfarlane - Gender: F, Email: suzanna.mcfarlane@yahoo.com, D.o.B: 1994-07-25, Date Joined: 2016-07-10, Salary: 102387.0]
[Employee #724623: Hon. Lashonda Q. Heckman - Gender: F, Email: lashonda.heckman@yahoo.com, D.o.B: 1974-11-08, Date Joined: 2000-07-31, Salary: 146675.0]
[Employee #772917: Hon. Valentine V. Linder - Gender: F, Email: valentine.linder@hotmail.com, D.o.B: 1979-07-12, Date Joined: 2014-05-27, Salary: 44938.0]
[Employee #992731: Hon. Kirstin S. Begley - Gender: F, Email: kirstin.begley@outlook.com, D.o.B: 1995-09-27, Date Joined: 2016-11-17, Salary: 173538.0]
[Employee #891653: Mrs. Mindi T. Higley - Gender: F, Email: mindi.higley@gmail.com, D.o.B: 1958-01-11, Date Joined: 1981-02-06, Salary: 157961.0]
[Employee #469204: Mr. Rufus H. Schofield - Gender: M, Email: rufus.schofield@gmail.com, D.o.B: 1986-08-14, Date Joined: 2010-07-07, Salary: 78434.0]
[Employee #177006: Mrs. Gisele P. Huie - Gender: F, Email: gisele.huie@gmail.com, D.o.B: 1980-04-29, Date Joined: 2010-07-11, Salary: 115389.0]
[Employee #214099: Ms. Isabelle I. Escobedo - Gender: F, Email: isabelle.escobedo@hotmail.com, D.o.B: 1995-10-07, Date Joined: 2017-01-14, Salary: 99956.0]
[Employee #115718: Ms. Celia S. Richards - Gender: F, Email: celia.richards@ibm.com, D.o.B: 1984-10-02, Date Joined: 2009-12-06, Salary: 56085.0]
[Employee #437622: Dr. Marshall U. Luckett - Gender: M, Email: marshall.luckett@hotmail.co.uk, D.o.B: 1974-12-11, Date Joined: 2012-10-02, Salary: 138716.0]
[Employee #556707: Prof. Randy O. Foxworth - Gender: M, Email: randy.foxworth@gmail.com, D.o.B: 1967-04-18, Date Joined: 1988-09-02, Salary: 71645.0]
[Employee #562522: Mr. Merlin J. Tackett - Gender: M, Email: merlin.tackett@gmail.com, D.o.B: 1990-06-02, Date Joined: 2013-09-09, Salary: 72994.0]
[Employee #482012: Ms. Jonnie H. Mclellan - Gender: F, Email: jonnie.mclellan@hotmail.com, D.o.B: 1960-05-02, Date Joined: 1999-10-03, Salary: 160710.0]
[Employee #443835: Hon. Louis M. Alton - Gender: M, Email: louis.alton@ibm.com, D.o.B: 1972-09-27, Date Joined: 1998-03-07, Salary: 66309.0]
[Employee #195200: Dr. Jaime F. Steck - Gender: M, Email: jaime.steck@gmail.com, D.o.B: 1969-01-08, Date Joined: 2013-02-14, Salary: 101125.0]
[Employee #439490: Mrs. Catrice Y. Labrecque - Gender: F, Email: catrice.labrecque@yahoo.com, D.o.B: 1975-07-28, Date Joined: 2011-08-20, Salary: 147041.0]
[Employee #874818: Dr. Joshua N. Thai - Gender: M, Email: joshua.thai@bellsouth.net, D.o.B: 1970-05-23, Date Joined: 2002-03-26, Salary: 87636.0]
[Employee #232476: Hon. Nancie B. Broomfield - Gender: F, Email: nancie.broomfield@hotmail.com, D.o.B: 1978-09-17, Date Joined: 2004-04-19, Salary: 189661.0]
[Employee #695651: Mr. Herb W. Mosier - Gender: M, Email: herb.mosier@shaw.ca, D.o.B: 1969-05-13, Date Joined: 1991-06-30, Salary: 42944.0]
[Employee #576333: Mr. Gregorio Z. Bauman - Gender: M, Email: gregorio.bauman@gmail.com, D.o.B: 1970-12-12, Date Joined: 2016-01-09, Salary: 188606.0]
[Employee #421181: Drs. Merri J. Tillery - Gender: F, Email: merri.tillery@outlook.com, D.o.B: 1958-01-12, Date Joined: 1990-06-14, Salary: 85034.0]
[Employee #637227: Ms. Georgiann P. Leyba - Gender: F, Email: georgiann.leyba@charter.net, D.o.B: 1966-09-16, Date Joined: 2012-02-26, Salary: 126080.0]
